a,b,count_a,count_b,edit_distance,successor_cosine,predecessor_cosine,successor_JSD,combined_score
or,s,390,328,2,0.926951397325164,0.5903638699218879,0.18983038041757233,0.8259751391041811
chey,ol,510,588,4,0.7343149679910664,0.8063725773271374,0.2135963408868365,0.7559322507918877
chor,cthol,215,55,2,0.7409853879646103,0.6455450232402459,0.2681579674392449,0.712353278547301
cthy,cthol,100,55,2,0.7088824205186848,0.7163822196910589,0.22326563199278102,0.711132360270397
y,ol,210,588,2,0.7457098242105502,0.617861381782839,0.22812511166136665,0.7073552914822369
shey,ol,344,588,4,0.6933818683243003,0.728460915347725,0.23063257975385393,0.7039055824313276
ain,al,149,311,2,0.7025136935673962,0.7009024145746626,0.24473736804988805,0.7020303098695762
ar,s,449,328,2,0.809185017174019,0.4043817181796383,0.22299151832284766,0.6877440274757047
ar,ol,449,588,2,0.6809860183048636,0.7031682926400952,0.24977639393793666,0.687640700605433
r,ol,196,588,2,0.7780235914183343,0.47176896947088415,0.23961672474768603,0.6861472048340992
dar,ol,287,588,3,0.7256633881594325,0.5923325414022563,0.2499174082576742,0.6856641341322797
chol,cthy,367,100,3,0.7390016929809089,0.5568595044117459,0.25742720814737613,0.68435903641016
s,ol,328,588,2,0.7367520547326509,0.5550684462417572,0.2774355764301457,0.6822469721853828
chor,chy,215,197,2,0.6682602230071863,0.7122210424733455,0.30336700594794547,0.6814484688470341
cthy,cthor,100,45,2,0.6597101924058243,0.7266953643431432,0.25465208488705837,0.6798057439870199
s,sar,328,77,2,0.8131960252239462,0.35410818266677185,0.24762751728149798,0.6754696724567938
ar,ain,449,149,2,0.6545874100626873,0.7220889464928808,0.2272511416633876,0.6748378709917453
or,sar,390,77,2,0.8209636632702185,0.33146462327128823,0.25783963679132893,0.6741139512705394
or,cheo,390,75,4,0.7311745518578627,0.5385122106672763,0.3268750405532847,0.6733758495006867
r,lor,196,38,2,0.7212872353155702,0.5584687084566007,0.29292724167968365,0.6724416772578793
shol,chor,176,215,2,0.7076414873612855,0.5850586867572685,0.29309484393589347,0.6708666471800804
chol,chy,367,197,2,0.6654209255046537,0.6818097585414573,0.27664412837509783,0.6703375754156948
ain,ol,149,588,3,0.7107370046306856,0.5699110615372429,0.22744745948029327,0.6684892217026528
chor,cthy,215,100,3,0.7024713768650165,0.58780098511986,0.28895359934029496,0.6680702593414695
r,sar,196,77,2,0.8267226221981496,0.29367046203550273,0.24297292345297566,0.6668069741493555
