branch,source_token,phonographic_classes
ReF,Jch,J X
ReF,dan,T A N
ReF,blügent,P L U K E N T
ReF,man,M A N
ReF,die,T I E
ReF,vˢtragent,F S T R A K E N T
ReF,ir,I R
ReF,zehant,T S E H A N T
ReF,nit,N I T
ReF,ſoll,S O L
ReF,das,T A S
ReF,des,T E S
ReF,vn̄,F N
ReF,vnd,F N T
ReF,das,T A S
ReF,ſín,S I N
ReF,dich,T I X
ReF,dar,T A R
ReF,alreyrſt,A L R E I R S T
ReF,gewerken,K E W E R K E N
ReF,tagin,T A K I N
ReF,jch,J X
ReF,Die,T I E
ReF,der,T E R
ReF,ze,T S E
ReF,har,H A R
ReF,taͤt,T A T
ReF,ſicht,S I X T
ReF,die,T I E
ReF,als,A L S
ReF,ſcholt,SH O L T
ReF,ſchencki,SH E N K I
ReF,maiſter,M A I S T E R
ReF,vnd,F N T
ReF,ynnen,I N E N
ReF,beſtat,P E S T A T
ReF,mir,M I R
ReF,naber,N A P E R
ReF,tragen,T R A K E N
ReF,Den,T E N
ReF,hoch,H O X
ReF,uon,U O N
ReF,In,I N
ReF,ertrukēt,E R T R U K E T
ReF,des,T E S
ReF,iſt,I S T
ReF,Er,E R
ReF,künt,K U N T
ReF,wo,W O
ReF,Capitel,K A P I T E L
ReF,nach,N A X
ReF,oder,O T E R
ReF,hertzogē,H E R T S O K E
ReF,das,T A S
ReF,wir,W I R
ReF,zuſam̄en,T S U S A M E N
ReF,böſen,P O S E N
ReF,ich,I X
ReF,guld̄,K U L T
ReF,anders,A N T E R S
ReF,an,A N
ReF,ſey,S E I
ReF,mit,M I T
ReF,aber,A P E R
ReF,Gemainlich,K E M A I N L I X
ReF,nit,N I T
ReF,yn,I N
ReF,vom,F O M
ReF,mirckt,M I R K T
ReF,das,T A S
ReF,ſal,S A L
ReF,vnd,F N T
ReF,ſol,S O L
ReF,ir,I R
ReF,quemē,K W E M E
ReF,getru͗wlicher,K E T R U W L I X E R
ReF,Seitdaz,S E I T A T S
ReF,ſol,S O L
ReF,dy,T I
ReF,libkoſen,L I P K O S E N
ReF,Das,T A S
ReF,die,T I E
ReF,ſelbe,S E L P E
ReF,er,E R
ReF,dörre,T O R E
ReF,Jt̄,J T
ReF,von,F O N
ReF,ergaben,E R K A P E N
ReF,geſchaich,K E SH A I X
ReF,befollen,P E F O L E N
ReF,abends,A P E N T S
ReF,Jt̄,J T
ReF,lauzzēd,L A U T S E T
